framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10.json,compile,10,0,2,14413824,30,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10.json,witness,10,0,2,45756416,30,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10.json,setup,10,0,2,445530112,1850,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10.json,prove,10,0,2,419565568,730,711,1
circom/rapidsnark,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10.json,prove,10,0,2,5636096,10,711,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10.json,verify,10,0,2,415113216,730,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100.json,compile,100,0,2,14258176,40,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100.json,witness,100,0,2,46780416,30,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100.json,setup,100,0,2,446529536,1930,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100.json,prove,100,0,2,420945920,710,709,1
circom/rapidsnark,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100.json,prove,100,0,2,5836800,10,709,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100.json,verify,100,0,2,416419840,780,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000.json,compile,1000,0,2,14422016,50,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000.json,witness,1000,0,2,46989312,30,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000.json,setup,1000,0,2,451497984,2590,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000.json,prove,1000,0,2,467009536,730,706,1
circom/rapidsnark,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000.json,prove,1000,0,2,7905280,10,706,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000.json,verify,1000,0,2,416530432,730,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000.json,compile,10000,0,2,33275904,250,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000.json,witness,10000,0,2,50819072,40,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000.json,setup,10000,0,2,554508288,9650,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000.json,prove,10000,0,2,927801344,1000,709,1
circom/rapidsnark,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000.json,prove,10000,0,2,53866496,40,709,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000.json,verify,10000,0,2,416157696,690,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100000.json,compile,100000,0,2,257802240,2340,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100000.json,witness,100000,0,2,58290176,70,,1

circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100000.json,prove,100000,0,2,,,,1
circom/rapidsnark,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100000.json,prove,100000,0,2,,,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_100000.json,verify,100000,0,2,62459904,300,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000000.json,compile,1000000,0,2,2561249280,24780,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000000.json,witness,1000000,0,2,129937408,350,,1

circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000000.json,prove,1000000,0,2,,,,1
circom/rapidsnark,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000000.json,prove,1000000,0,2,,,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_1000000.json,verify,1000000,0,2,62590976,210,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000000.json,compile,10000000,0,2,25342119936,261100,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000000.json,witness,10000000,0,2,850505728,3190,,1

circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000000.json,prove,10000000,0,2,,,,1
circom/rapidsnark,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000000.json,prove,10000000,0,2,,,,1
circom/snarkjs,circuit,groth16,bn128,exponentiate,input/circuit/exponentiate/input_10000000.json,verify,10000000,0,2,62402560,210,,1
